manufacturer,model,year,price,odometer,condition,transmission,cylinders,fuel,title_status,drive,size,type,paint_color,state
ford,transit,2017,24000,110161,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,va
bmw,x3,2004,2000,133500,fair,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,blue,mt
ford,taurus_sel,2012,13800,53000,like new,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,mt
ford,transit,2016,24500,59267,like new,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,ny
ford,flex,2019,18000,29317,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,wagon,white,al
chevrolet,impala,2014,11000,56000,excellent,automatic,6 cylinders,gas,clean,fwd,compact,sedan,white,al
ford,edge,2019,24998,29941,excellent,automatic,4 cylinders,gas,clean,4wd,mid-size,SUV,white,al
ford,focus,2015,6750,69124,fair,manual,3 cylinders,gas,clean,fwd,compact,sedan,grey,az
cadillac,srx,2008,2995,187854,like new,automatic,6 cylinders,gas,clean,rwd,full-size,SUV,black,fl
audi,a4,2006,4499,169000,good,automatic,4 cylinders,gas,clean,4wd,mid-size,sedan,grey,mt
chevrolet,impala,2007,4550,129000,good,automatic,6 cylinders,gas,lien,fwd,full-size,sedan,white,mt
chevrolet,camaro,2013,12900,23955,like new,manual,8 cylinders,gas,clean,rwd,full-size,coupe,custom,me
ford,focus,2014,5495,111238,good,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,red,tn
chevrolet,impala,2012,4500,196342,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,white,ny
ford,taurus_sel,2010,9800,142511,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,va
ford,taurus_sel,2002,2800,187000,good,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,grey,va
ford,focus,2011,4900,133000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,va
chevrolet,impala,2012,3999,134000,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,white,or
bmw,335i,2010,8600,120000,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,sedan,black,ny
ford,focus,2013,5750,97427,excellent,automatic,4 cylinders,gas,clean,fwd,compact,hatchback,red,or
ford,taurus_sel,2011,11900,171000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,black,md
ford,transit,2015,17400,101259,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,or
ford,taurus_sel,2005,6300,70685,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,md
ford,transit,2018,27000,11719,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,or
ford,focus,2007,4999,20400,like new,automatic,4 cylinders,gas,clean,fwd,compact,sedan,silver,md
bmw,328xi,2008,5795,127688,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,custom,az
ford,focus,2010,5499,117000,like new,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,grey,or
chevrolet,camaro,2002,11500,39800,excellent,manual,8 cylinders,gas,clean,rwd,mid-size,coupe,black,md
audi,a3,2008,5995,97000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,hatchback,white,md
chevrolet,impala,2014,11500,68000,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,white,sc
chevrolet,impala,2013,5250,108000,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,silver,sc
audi,a5,2010,8990,110021,excellent,automatic,4 cylinders,gas,clean,4wd,mid-size,coupe,grey,or
ford,taurus_sel,2002,1800,192503,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,brown,sc
ford,focus,2015,6900,77000,new,automatic,4 cylinders,gas,clean,fwd,full-size,hatchback,black,wi
ford,focus,2017,9495,67648,like new,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,tn
ford,focus,2017,9995,16252,like new,automatic,4 cylinders,gas,clean,fwd,compact,sedan,white,tn
cadillac,srx,2012,12495,78300,excellent,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,grey,ny
ford,flex,2014,13300,141803,like new,automatic,6 cylinders,gas,clean,fwd,full-size,wagon,blue,ca
audi,a4,2005,3995,146000,like new,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,or
